,ProductID,Count
0,1,38
1,2,44
2,3,12
3,4,20
4,5,10
5,6,12
6,7,29
7,8,13
8,9,5
9,10,33
10,11,38
11,12,14
12,13,40
13,14,22
14,15,6
15,16,43
16,17,37
17,18,27
18,19,37
19,20,16
20,21,39
21,22,14
22,23,20
23,24,51
24,25,18
25,26,32
26,27,9
27,28,33
28,29,32
29,30,32
30,31,51
31,32,15
32,33,32
33,34,19
34,35,36
35,36,31
36,37,6
37,38,24
38,39,30
39,40,41
40,41,47
41,42,30
42,43,28
43,44,24
44,45,14
45,46,27
46,47,21
47,48,6
48,49,21
49,50,10
50,51,39
51,52,29
52,53,30
53,54,36
54,55,33
55,56,50
56,57,23
57,58,18
58,59,54
59,60,51
60,61,24
61,62,48
62,63,17
63,64,30
64,65,32
65,66,8
66,67,10
67,68,34
68,69,31
69,70,39
70,71,42
71,72,38
72,73,14
73,74,13
74,75,46
75,76,39
76,77,38
